metabolite_id,shadow_price,abs_shadow_price,rank
obfool_c,-1.0714285714285776,1.0714285714285776,1
24menlophenol_c,-1.0357142857142887,1.0357142857142887,2
episterol_c,-1.000000000000002,1.000000000000002,3
ergtrienol_c,-1.0000000000000013,1.0000000000000013,4
frdp_c,-0.5357142857142901,0.5357142857142901,5
grdp_c,-0.3571428571428603,0.3571428571428603,6
dxyl5p_h,-0.17857142857143066,0.17857142857143066,7
ipdp_c,-0.1785714285714304,0.1785714285714304,8
ipdp_h,-0.1785714285714304,0.1785714285714304,9
g3p_h,-0.10714285714285868,0.10714285714285868,10
pyr_h,-0.1071428571428584,0.1071428571428584,11
hmgcoa_c,0.03571428571428726,0.03571428571428726,12
co2_e,-0.03571428571428665,0.03571428571428665,13
7dhporiferasterol_c,-0.0,0.0,14
ergosterol_c,-0.0,0.0,15
o2_e,0.0,0.0,16
pi_e,-0.0,0.0,17
photonVis_e,0.0,0.0,18
nh4_e,-0.0,0.0,19
fe3_e,-0.0,0.0,20
fe2_e,0.0,0.0,21
ergost7enol_c,-0.0,0.0,22
